code,domain,domain_title,family,family_title,title,framework_citations,description,word_count,REVIEWED_BY,EDITED_DESCRIPTION
GOV-01.1,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Information security policy set,SOC2 CC1.1 ; ISO27001 A.5.1,"A documented set of information security policies is approved by management, published to all personnel, and covers the topics relevant to the organisation's risk profile and obligations.",27,,
HRS-01.1,HRS,Human Resources Security,HRS-01,Pre-Employment,Background verification,SOC2 CC1.4 ; ISO27001 A.6.1,"Background verification appropriate to the role and applicable law is completed for personnel and relevant contractors before they are granted access to systems or facilities, and results are recorded.",29,,
IAM-01.1,IAM,Identity & Access Management,IAM-01,Identity Lifecycle,Joiner provisioning and approval,SOC2 CC6.2 ; ISO27001 A.5.18,"Access for new joiners is granted only after documented approval from an authorised approver, is based on the entitlements defined for the role, and the approval record is retained.",29,,
AST-01.1,AST,Asset & Information Management,AST-01,Asset Inventory,Hardware and software inventory,SOC2 CC6.1 ; ISO27001 A.5.9,"A complete inventory of hardware and software assets is maintained, updated as assets are added, changed or retired, and reconciled against discovery data at a defined interval.",27,,
END-01.1,END,Endpoint Security,END-01,Endpoint Protection,Anti-malware / EDR coverage,SOC2 CC6.8 ; ISO27001 A.8.7,"Anti-malware or endpoint detection and response software is deployed to all in-scope endpoints and servers, kept current, and its coverage is measured against the asset inventory to identify gaps.",29,,
APP-01.1,APP,Secure Development,APP-01,Secure SDLC,Secure development lifecycle policy,ISO27001 A.8.25,"A documented secure development lifecycle defines the security activities required at each stage from design through release, and applies to all in-scope applications and teams.",25,,
CRY-01.1,CRY,Cryptography & Key Management,CRY-01,Cryptographic Controls,Encryption at rest,SOC2 CC6.1 ; ISO27001 A.8.24 ; DPDPA S.8(5),"Data at rest in databases, object storage, backups and endpoints is encrypted using an approved algorithm, with coverage verified across all stores holding classified or personal data.",27,,
NET-01.1,NET,Network Security,NET-01,Network Architecture,Network segmentation,SOC2 CC6.6 ; ISO27001 A.8.22,"The network is segmented so that systems of differing trust levels and data sensitivity are separated, with traffic between segments restricted to explicitly permitted flows.",25,,
TPR-01.1,TPR,Third-Party Risk Management,TPR-01,Vendor Onboarding,Vendor due diligence assessment,SOC2 CC9.2 ; ISO27001 A.5.19,"Vendors are assessed for security and privacy risk before onboarding, with the depth of assessment proportionate to the data and access involved, and the assessment outcome recorded and approved.",29,,
PHY-01.1,PHY,Physical & Environmental Security,PHY-01,Physical Access,Physical security perimeter,SOC2 CC6.4 ; ISO27001 A.7.1,"Physical security perimeters protecting areas containing information systems are defined and physically sound, with entry points controlled and the perimeter maintained.",21,,
PRI-01.1,PRI,Privacy & Data Protection,PRI-01,Transparency & Lawful Basis,Privacy notice to data principals,SOC2 P1.1 ; ISO27001 A.5.34 ; DPDPA S.5,"A privacy notice is provided to data principals before or at the point of collection, in clear language and in the required languages, describing the data collected, the purposes and their rights.",32,,
BCP-01.1,BCP,"Continuity, Backup & Resilience",BCP-01,Backup,Backup schedule and scope,SOC2 A1.2 ; ISO27001 A.8.13 ; DPDPA S.8(5),"Backups cover all systems and data required to restore business operations, run at a frequency consistent with the defined recovery point objective, and their success or failure is monitored and alerted.",31,,
IRP-01.1,IRP,Incident Response,IRP-01,Incident Response,Incident response plan,SOC2 CC7.4 ; ISO27001 A.5.24,"A documented incident response plan defines roles, severity levels, escalation paths, communication responsibilities and evidence handling, and is accessible to responders when primary systems are unavailable.",26,,
VUL-01.1,VUL,Vulnerability & Patch Management,VUL-01,Vulnerability Management,Vulnerability scanning cadence,SOC2 CC7.1 ; ISO27001 A.8.8,"Vulnerability scanning covers in-scope infrastructure, endpoints and applications at a defined cadence and after significant change, with scan coverage reconciled against the asset inventory.",24,,
LOG-01.1,LOG,Logging & Monitoring,LOG-01,Audit Logging,Audit logging enabled and scoped,SOC2 CC7.2 ; ISO27001 A.8.15 ; DPDPA S.8(5),"Security-relevant events including authentication, authorisation changes, privileged actions and access to sensitive data are logged across in-scope systems, with the logging scope documented.",23,,
CHG-01.1,CHG,Change & Configuration Management,CHG-01,Change Management,Change approval and authorisation,SOC2 CC8.1 ; ISO27001 A.8.32,"Changes to production systems are requested, assessed for risk and security impact, and approved by an authorised approver other than the implementer before deployment, with approval recorded.",27,,
CHG-01.2,CHG,Change & Configuration Management,CHG-01,Change Management,Change testing and rollback,SOC2 CC8.1 ; ISO27001 A.8.32,"Changes are tested before production deployment and have a documented rollback or recovery plan proportionate to their risk, with test evidence retained.",22,,
LOG-01.2,LOG,Logging & Monitoring,LOG-01,Audit Logging,Log retention period,SOC2 CC7.2 ; ISO27001 A.8.15,"Logs are retained for a defined period that satisfies investigative, contractual and regulatory needs, with the retention period documented and enforced by the logging platform.",25,,
VUL-01.2,VUL,Vulnerability & Patch Management,VUL-01,Vulnerability Management,Remediation SLA by severity,SOC2 CC7.1 ; ISO27001 A.8.8,"Remediation timeframes are defined by vulnerability severity, tracked from discovery to closure, and overdue items are escalated, with the SLA and current performance reported.",24,,
TPR-01.2,TPR,Third-Party Risk Management,TPR-01,Vendor Onboarding,Vendor risk tiering,ISO27001 A.5.19,"Vendors are assigned a risk tier using defined criteria such as data sensitivity, system access and business criticality, and the tier determines assessment depth and reassessment frequency.",27,,
PHY-01.2,PHY,Physical & Environmental Security,PHY-01,Physical Access,Physical entry authorisation,SOC2 CC6.4 ; ISO27001 A.7.2,"Entry to secure areas is restricted to authorised individuals through a controlled mechanism, authorisation is approved and recorded, and access rights are reviewed at a defined interval.",27,,
PRI-01.2,PRI,Privacy & Data Protection,PRI-01,Transparency & Lawful Basis,Consent capture and withdrawal,SOC2 P2.1 ; DPDPA S.6,"Consent is obtained through a free, specific, informed and unambiguous affirmative action where consent is the basis for processing, and withdrawal is made as easy as giving consent.",28,,
BCP-01.2,BCP,"Continuity, Backup & Resilience",BCP-01,Backup,Restore testing,SOC2 A1.3 ; ISO27001 A.8.13,"Restoration from backup is tested at a defined interval by actually recovering data, not merely verifying the backup completed, and the test outcome and any failures are recorded.",28,,
IRP-01.2,IRP,Incident Response,IRP-01,Incident Response,Incident classification and triage,SOC2 CC7.3 ; ISO27001 A.5.25,"Reported events are classified against defined severity criteria and triaged within a timeframe appropriate to that severity, with the classification and rationale recorded.",23,,
NET-01.2,NET,Network Security,NET-01,Network Architecture,Firewall ruleset review,SOC2 CC6.6 ; ISO27001 A.8.20,"Firewall and security group rulesets are reviewed at a defined interval to confirm each rule has a business justification and an owner, with unjustified and overly permissive rules removed.",29,,
CRY-01.2,CRY,Cryptography & Key Management,CRY-01,Cryptographic Controls,Encryption in transit (TLS),SOC2 CC6.7 ; ISO27001 A.8.24 ; DPDPA S.8(5),"Data in transit across untrusted networks is protected using current TLS versions with approved cipher suites, with plaintext protocols disabled and configuration verified periodically.",24,,
APP-01.2,APP,Secure Development,APP-01,Secure SDLC,Peer code review before merge,SOC2 CC8.1 ; ISO27001 A.8.28,"Code changes are reviewed and approved by a competent person other than the author before merging to a protected branch, with the review record retained.",25,,
END-01.2,END,Endpoint Security,END-01,Endpoint Protection,Endpoint hardening baseline,SOC2 CC7.1 ; ISO27001 A.8.9,"Endpoints are configured to a documented hardening baseline covering security settings, disabled services and local administrative rights, with compliance monitored and deviations remediated.",23,,
AST-01.2,AST,Asset & Information Management,AST-01,Asset Inventory,Information asset register,ISO27001 A.5.9,"Information assets and the systems that store or process them are recorded in a register capturing the data held, its classification, its location and the business process it supports.",29,,
IAM-01.2,IAM,Identity & Access Management,IAM-01,Identity Lifecycle,Mover / role-change access update,SOC2 CC6.3 ; ISO27001 A.5.18,"When a person changes role, their entitlements are reassessed and adjusted within a defined period so that access no longer required by the new role is removed rather than accumulated.",30,,
HRS-01.2,HRS,Human Resources Security,HRS-01,Pre-Employment,Terms of employment and NDAs,ISO27001 A.6.2 ; ISO27001 A.6.6,"Employment and contractor agreements state information security and confidentiality responsibilities, including obligations that survive the end of the engagement, and are executed before access is granted.",26,,
GOV-01.2,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Policy review and approval cycle,ISO27001 A.5.1,"Each policy names an owner and is formally reviewed and re-approved at a defined interval, and additionally whenever a significant change to the business, technology estate or regulatory obligations occurs.",30,,
GOV-01.3,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Security roles and responsibilities,SOC2 CC1.3 ; ISO27001 A.5.2,"Information security roles, responsibilities and decision rights are defined, assigned to named individuals or roles, and communicated so accountability for each control area is unambiguous.",25,,
AST-01.3,AST,Asset & Information Management,AST-01,Asset Inventory,Asset ownership assignment,ISO27001 A.5.9,"Every asset in the inventory has a named owner accountable for its classification, protection and permitted use, and ownership is reassigned when personnel or responsibilities change.",26,,
IAM-01.3,IAM,Identity & Access Management,IAM-01,Identity Lifecycle,Leaver deprovisioning within SLA,SOC2 CC6.3 ; ISO27001 A.5.18,"Access for departing personnel and contractors is revoked across all systems within a defined service level from the termination trigger, and the revocation is evidenced.",25,,
CRY-01.3,CRY,Cryptography & Key Management,CRY-01,Cryptographic Controls,Approved algorithms and cipher policy,ISO27001 A.8.24,"An approved cryptography standard defines permitted algorithms, minimum key lengths and cipher suites, prohibits deprecated primitives, and is reviewed as cryptographic guidance evolves.",23,,
NET-01.3,NET,Network Security,NET-01,Network Architecture,Boundary protection and DDoS,SOC2 CC6.6 ; ISO27001 A.8.20,"Controls protect the network boundary against unauthorised access and volumetric attack, including ingress filtering and denial-of-service mitigation appropriate to the exposure of internet-facing services.",24,,
APP-01.3,APP,Secure Development,APP-01,Secure SDLC,Source control branch protection,SOC2 CC8.1 ; ISO27001 A.8.4,"Protected branches prevent direct commits, require review approval and passing checks before merge, and restrict who may override these controls, with overrides logged.",23,,
END-01.3,END,Endpoint Security,END-01,Endpoint Protection,Endpoint disk encryption,SOC2 CC6.1,"Full-disk encryption is enabled on laptops and other portable endpoints, with enrolment enforced centrally and coverage reported against the device inventory.",21,,
PRI-01.3,PRI,Privacy & Data Protection,PRI-01,Transparency & Lawful Basis,Consent records and audit trail,DPDPA S.6,"A record is kept of each consent showing what was consented to, the notice presented at the time, the timestamp, and any subsequent withdrawal, sufficient to demonstrate valid consent.",29,,
IRP-01.3,IRP,Incident Response,IRP-01,Incident Response,Incident response exercises,SOC2 CC7.4 ; ISO27001 A.5.24,"The incident response plan is exercised at a defined interval using a realistic scenario, with participation from the roles named in the plan, and lessons learned fed back into the plan.",31,,
CHG-01.3,CHG,Change & Configuration Management,CHG-01,Change Management,Emergency change procedure,SOC2 CC8.1 ; ISO27001 A.8.32,"A defined emergency change procedure permits expedited deployment when justified, and requires retrospective review and approval within a specified period after the event.",23,,
VUL-01.3,VUL,Vulnerability & Patch Management,VUL-01,Vulnerability Management,Threat intelligence intake,ISO27001 A.5.7,"Threat and vulnerability intelligence relevant to the organisation's technology and sector is received from defined sources, assessed for applicability, and acted upon where relevant.",24,,
LOG-01.3,LOG,Logging & Monitoring,LOG-01,Audit Logging,Log integrity and tamper protection,ISO27001 A.8.15,"Logs are protected against modification and deletion, including by privileged users, through centralisation to a separate system, restricted access, and integrity controls.",22,,
PHY-01.3,PHY,Physical & Environmental Security,PHY-01,Physical Access,Visitor management,SOC2 CC6.4 ; ISO27001 A.7.2,"Visitors are identified, authorised, recorded on entry and exit, issued visible identification, and escorted while in secure areas, with the visitor record retained.",23,,
BCP-01.3,BCP,"Continuity, Backup & Resilience",BCP-01,Backup,Backup encryption and offsite copy,ISO27001 A.8.13,"Backup data is encrypted and at least one copy is held in a location or account separate from the primary environment, so that a single compromise or failure cannot destroy both.",31,,
PHY-01.4,PHY,Physical & Environmental Security,PHY-01,Physical Access,CCTV and physical monitoring,SOC2 CC6.4 ; ISO27001 A.7.4,"Premises and secure areas are monitored for unauthorised physical access using surveillance or intrusion detection appropriate to the risk, with recordings retained for a defined period.",26,,
IRP-01.4,IRP,Incident Response,IRP-01,Incident Response,Post-incident review and lessons,SOC2 CC7.5 ; ISO27001 A.5.27,"Incidents above a defined severity receive a documented post-incident review identifying root cause and corrective actions, with those actions assigned owners and tracked to completion.",25,,
GOV-01.4,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Management review of the ISMS,SOC2 CC4.1 ; ISO27001 9.3,"Management formally reviews the information security programme at a planned interval, considering performance results, audit findings, incidents, risk changes and improvement opportunities, and records the decisions taken.",27,,
IAM-01.4,IAM,Identity & Access Management,IAM-01,Identity Lifecycle,"Unique identifiers, no shared accounts",SOC2 CC6.2 ; ISO27001 A.5.16,"Each user is assigned a unique identifier that attributes their actions to them individually; shared, generic and service accounts are inventoried, justified, owned and their credentials controlled.",27,,
APP-01.4,APP,Secure Development,APP-01,Secure SDLC,Secure coding standards,ISO27001 A.8.28,"Secure coding standards addressing common vulnerability classes are documented, made available to developers, and reinforced through training and code review criteria.",21,,
END-01.4,END,Endpoint Security,END-01,Endpoint Protection,Mobile device management,ISO27001 A.8.1,Devices accessing organisational data are enrolled in a management solution that enforces the required security configuration and enables remote lock or wipe of organisational data.,25,,
LOG-01.4,LOG,Logging & Monitoring,LOG-01,Audit Logging,Administrator activity logging,SOC2 CC7.2 ; ISO27001 A.8.15,"Actions performed using administrative and privileged accounts are logged in sufficient detail to attribute each action to an individual, and these logs are reviewed or alerted on.",27,,
PRI-01.4,PRI,Privacy & Data Protection,PRI-01,Transparency & Lawful Basis,Children and guardian consent,DPDPA S.9,"Where the data principal is a child or a person with a disability having a lawful guardian, verifiable consent is obtained from the parent or guardian before processing, and prohibited processing is prevented.",33,,
PHY-01.5,PHY,Physical & Environmental Security,PHY-01,Physical Access,"Securing offices, rooms and facilities",ISO27001 A.7.3,"Offices, rooms and facilities housing information assets are designed and secured to prevent unauthorised access and to avoid publicly signalling the presence of sensitive operations.",25,,
GOV-01.5,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Information security objectives,ISO27001 6.2,"Measurable information security objectives are established, aligned to the security policy, assigned to owners with target dates, and progress against them is monitored and reported.",25,,
GOV-01.6,GOV,"Governance, Risk & Compliance",GOV-01,Security Governance,Code of conduct and ethics,SOC2 CC1.1,"A code of conduct setting expected ethical and behavioural standards is issued to all personnel, who formally acknowledge it on joining and at a defined recurring interval thereafter.",28,,
NET-02.1,NET,Network Security,NET-02,Remote & Wireless Access,Remote access / VPN controls,SOC2 CC6.6 ; ISO27001 A.6.7,"Remote access to the internal environment is granted only to authorised users over an encrypted channel, from managed or attested endpoints where feasible, and remote sessions are logged.",28,,
CHG-02.1,CHG,Change & Configuration Management,CHG-02,Configuration Management,Secure configuration baselines,SOC2 CC7.1 ; ISO27001 A.8.9,"Secure configuration baselines are defined for each system and platform type, applied at build, and maintained as the authoritative definition of an acceptable configuration.",24,,
APP-02.1,APP,Secure Development,APP-02,Application Security Testing,SAST / DAST in the pipeline,SOC2 CC7.1 ; ISO27001 A.8.29,"Static and dynamic application security testing runs within the delivery pipeline on a defined trigger, with findings routed to owners and severity thresholds defined for blocking a release.",28,,
IAM-02.1,IAM,Identity & Access Management,IAM-02,Authentication,Password / passphrase policy,SOC2 CC6.1 ; ISO27001 A.5.17,"Authentication credential requirements covering minimum length, complexity or passphrase rules, reuse restrictions and handling of compromised credentials are defined and technically enforced.",22,,
